Designator,Mid X,Mid Y,Rotation,Layer
C1,173.94,-99.83,180.0,top
C10,184.48,-100.0,180.0,top
C11,188.91,-101.02,270.0,top
C12,187.25,-100.94,180.0,top
C2,175.48,-92.42,270.0,top
C3,164.25,-96.99,180.0,top
C4,167.86,-90.61,0.0,top
C5,165.88,-96.55,90.0,top
C6,172.02,-100.46,180.0,top
C7,164.13,-90.92,180.0,top
C8,164.26,-96.07,0.0,top
C9,187.91,-96.31,0.0,top
D1,185.96,-90.045,180.0,top
D2,185.96,-90.985,180.0,top
J1,152.27,-95.15,90.0,top
J2,194.395,-95.15,90.0,top
J3,171.265,-86.22,90.0,bottom
J4,171.25,-104.2,90.0,bottom
L1,185.55,-97.76,90.0,top
R1,161.64,-97.0,180.0,top
R10,190.61,-100.95,0.0,top
R2,193.55,-89.36,180.0,top
R3,193.33,-100.97,180.0,top
R4,186.82,-100.01,0.0,top
R5,184.105,-90.045,180.0,top
R6,184.105,-90.985,180.0,top
R7,170.66,-89.42,0.0,top
R9,165.5,-97.96,180.0,top
SW1,160.64,-92.94,270.0,top
SW2,162.01,-99.65,180.0,top
U1,179.35,-94.06,180.0,top
U2,170.86,-95.22,90.0,top
U3,188.03,-98.29,180.0,top
Y1,164.05,-93.5,270.0,top
